ID,Movie_ID,User_Name,Rating,Title,Content,,,,,,,,,,,,,,,,,,,
1,1,TheTopDawgCritic,8,Better than expected!,"For a B-grade film, this was surprisingly better than I expected. The acting was great by all cast members, the directing was on point, the writing was actually pretty good - without many plot issues one would normally expect, the cinematography perfect, the pacing was great, especially for the 107 min length, and the editing not too bad except for the flashbacks. My only critique was the terrible score, especially towards the last act. Had the score been more professional and consistent through out, the suspense would have been stellar instead of adequate. Overall an impressive film. A well deserved 8/10 from me.",,,,,,,,,,,,,,,,,,,
2,1,celestinoavilajr,8,Entertaining!,Good movie! Great plot! Edge of your seat twist and turns! Picture and acting qualities are excellent!.... If theirs anyone looking for good reviews and not sure of watching. Pay no mind to the bad reviews. If you like crime thrillers.. this is a good one!,,,,,,,,,,,,,,,,,,,
3,1,dave-mcclain,8,an expectedly good thriller,"Bad Samaritan"" R"," 151 is a thriller directed by actor-turned-producer Dean Devlin ""Geostorm"""," written by Brandon Boyce ""Wicker Park"" and starring television actor and erstwhile Dr. Who David Tennant. Theres a bit of horror in here too", but this film is primarily an intricately plotted thrill ride.The title character is named Sean Falco Irish actor Robert Sheehan, a young man whose step-father brought him and his mother to the U.S. because of a job opportunity for which Sean resents him. Sean is an aspiring photographer with a beautiful and intelligent college girlfriend named Riley Jacqueline Byers who knows nothing of Seans real passion - stealing. Sean and his best friend, Derek Carlito Olivero work as valets at an expensive Italian restaurant... which is where they choose their marks. As one of them mans the valet stand, the other uses the vehicles, GPS devices and garage door openers of their unsuspecting customers to rob the patrons homes," while theyre just trying to have a nice """,,,,,,,,,,,
329,15,Rainbowbeany,8,"Funny, Charming, and inspirational","I saw this movie yesterday and I loved it! Emma and Mindy are an amazing pair. Its a little reminiscent of Devil Wears Prada but in only the best of ways. Emma Thompson brings a vulnerability to her stern, straight laced character who is stuck in her own ways. Mindys character gets hired to work for Emmas Late Night talk show to help get it back on track to avoid cancellation. Mindy is incredibly charming, sweet and very opinionated in her role. These two ladies knock it out of the park and will make you laugh and cry. Its not every day we get to see a team up like this. The story is passionate, the jokes are hilarious, and the emotions are sincere. I highly recommend, it was a good time at the movies.",,,,,,,,,,,,,,,,,,,
330,15,cmkdakota-65369,10,Very contemporary look at our diverse society,"I love almost ANYTHING produced by Mindy Kaling! The reviewer who condemned her acting has every right to their opinion, but I disagree 100%. Somehow Kaling almost underplays"" some scenes in this movie and the intention is likely to go over the heads of those who are not critical thinkers.This movie has a lot of heart. It touches upon many tenets gender discrimination", age discrimination, nepotism, elitism," the corporate ""food chain"," formal education and more. It does not simply criticize the existence of the inequalities in society but instead actually explains and perhaps justifies their existence.This is one of the best movies Ive seen this year. In fact, Im going back to change my 9"" to a ""10!""""",,,,,,,,,,,,,,
331,15,red_tape-1,3,Underwhelming,Does Mindy Kaling ever do a character that isnt essentially the same as all the others she has done?,,,,,,,,,,,,,,,,,,,
332,15,ethanm-31245,10,"it is like Part 2 of the Proposal"" -sandra b""","It is like Part 2 of the Proposal"" sandra bullock"," the only difference is female power.""",,,,,,,,,,,,,,,,,,
333,15,mjsreg,2,Terrible,"Well, I wasnt expecting much from this film and wasnt disappointed.As usual, Thompson plays a shallow one-dimensional role that seems the same as every other role she has played and no doubt will play - its just Thompson on a different set.This is a big miss and not worth spending your time or money on.",,,,,,,,,,,,,,,,,,,
334,15,lindaadams888,9,Well-written and entertaining film,"Saw this tonight at a fairly full Wimbledon Odeon. Although I find Emma Thompson sanctimoniously hypocritical in real life, I really enjoyed seeing her in this film. She plays Katherine Newbury, a late night talk show host in the US who finds that her ratings are falling, and needs to inject new life into her show. The part was absolutely made for her - as she stole every scene that she appeared in. Mindy Kaling played Molly or No 8 who, as a female Indian was hired as a writer by the show mainly to boost their diversity - as she had no formal writing experience - but who actually comes up with many ideas to increase the ratings. The film had an intelligent and well-written screenplay actually written by Mindy Kaling. There were many laugh-out-loud moments - mostly in scenes where Emma Thompson was involved. My last two films were Booksmart and I Love my Mum - both of which I loathed with a vengeance. This film has restored my faith in humanity! My Score 8/10",,,,,,,,,,,,,,,,,,,
335,15,sjgbeauchamp-19927,5,Keep Kaling off screen.,"Mindy Kaling may write funny but that should be the extent of her duties in Hollywood. Her voice, expressions and over all acting are horrendous. Besides that, an okay script not far removed from any work place film, stealing borrowing heavily from its predecessors.",,,,,,,,,,,,,,,,,,,
336,15,boce-72137,1,One of the worst.,One of the worst movies I have ever seen. Even the previews makes you not want to see it,,,,,,,,,,,,,,,,,,,
337,16,jjordmaniakk,10,"After The Babadook, this is surprising, and a","A step up in scope for Kent after The Babadook, The Nightingale is a brutal, bloody and honest look into the life of woman and Aboriginal People during a period in Australias history that many seem to forget, all while telling an amazing story.Based somewhere around the 1830s, Clare is an Irish convict living in Tasmania Van Diemens Land as it was known, now able to live a life out of physical chains, though this alleged freedom was made possible by a leftenant with ulterior motives. Her character begins as an innocent woman, but once this man causes tragedy to strike in an ruthless way, her attitude changes. Upset and enraged, she becomes hell bent on chasing the officer responsible. However, he has already left the village, using an Aboriginal tracker to lead his group north towards a promised promotion.Clare also decides to enlist the help of a tracker, only after others in the community find it apparent that no words can stop her from leaving. An unfortunate but necessary and true ",,,,,,,,,,,,,,,,,,,
338,16,lucygracetrotman,10,Deeply moving revenge story in colonial Tasma,"Jennifer Kent has crafted an incredible, important, moving piece of cinema that portrays humanity at its darkest, bravest and most beautiful of moments.With truly fantastic Venice film festival award winning turns from the cast, this story of love, greed, abuse of power, revenge and resistance in the face of evil, will surely touch every viewer. The most striking things for me were the way in which the horrific behaviour by British colonial soldiers in this film is just a drop in the ocean compared to the crimes of British empire as a whole, yet this small cluster of soldiers had such a colossal impact of one womans life, it gives a face to the suffering and atrocities committed. And secondly, the film highlights the gentle beauty and perseverance of aboriginal tradition and spirituality in the face of adversity. Every school child in the UK and Australasia should see this film as a matter of necessity in understanding our past.",,,,,,,,,,,,,,,,,,,
339,16,margiebell-31969,1,"Atrocious, to say the least","This is a plotless, exploitational film that uses violence not as a mean to tell a bigger story. Here, violence is the goal, the artifice to shock and persuade at the same time. I am appalled by the good reviews. As for the prizes, she has been awarded in Venice due to or thanks to? the scandal revolving around the journalist who yelled sexist atrocities at her. An atrocious film of gratuitous violence that has been awarded due to an atrocious act of sexism. Thats not cinema. Thats just....an atrocity.",,,,,,,,,,,,,,,,,,,
340,16,carrythe2,8,A tough but powerful and rewarding watch,"We were introduced to the film by one of the lead actors who advised us to strap ourselves in""", which I think was good advice. It does depict some horrific things done by humans to other humans, and a few people walked out of the screening in the first 10 minutes because by far the worst scenes are at the start.But I recommend sticking with it as its really about showing glimpses of humanity underneath murderous hatred in an extremely hostile environment. It is not simply a gleeful revenge thriller, despite the often cartoonish evil of the British soldiers and the Tarantino-esque levels of violence. When the revenge does come, it feels like a drop in the ocean of cruelty that surrounds it - by which I mean the everyday treatment of the aboriginal people by the white settlers and of women as property. The larger themes come through with crushing strength.There isnt much in the way of humour or lightness here," but it manages to be a compelling and rewarding experience even if it feels a""",,,,,,,,,,,,,,
341,16,zacharyagorman-23145,10,Absolutely Perfect,"Couldnt stress enough how good this movie is, go and watch it ASAP!",,,,,,,,,,,,,,,,,,,
342,17,scarinny,9,Blue Ruin is a quiet film that make a loud im,"A very tense and taught thriller that puts you along side Dwight as events unfold. I am so accustomed to the actions of characters in your typical Hollywood revenge thrillers that in my mind I was intensely screaming at Dwights actions when IT, hit the fan. Then the realization came, this is not a film where the lead character becomes a fuel raged unstoppable hero suddenly becoming an expert on how to kill. The quietness is very intense in this film and you focus everything on the characters. That is how good the directing and the script are, the film is not afraid of the silence. You become aware of how fast your heart is beating in the silence. The directing by Jeremy Saulnier was handled expertly and was feast for the eyes. Beautiful cinematography and his utilization of natural lighting made it easy to get lost in the film. There are scenes that will make you squirm and there are humorous tension releasing moments, that is how tight the script is you are relived that you have those",,,,,,,,,,,,,,,,,,,
343,17,Zulfmanauthor,9,Revenge of a novice !!,"This movie Blue Ruin has received so much acclaim despite it lacking a star cast or any major publicity that I had to find out why. However once you have seen this film, its easy to understand how this movie has captured the attention of so many people. Revenge thrillers are about a strong lead character who embarks on an impeccable road of destruction which is heroic and clinical, this is what we have come to expect but here we have something different. This movie follows a down and outer who returns home once he hears the murderer of his parents has been released. His aim is to take revenge which is something he has no preparation for and this leads to a series of tragic events. The film is riveting and compelling, with a real feel of the main character as he goes deeper and deeper into a path of self-destruction. This film is so different, you need to be patient with it and empathise with the lead character who makes some difficult decisions and is forced to bear the consequences.",,,,,,,,,,,,,,,,,,,
344,17,brendan-821-654855,8,Excellent Indie slow burner,"Apart from a few forgivable imperfections remember, this is a debut film, after all, Blue Ruin is an excellent Indie drama/thriller.I disagree with the previous reviewer who referred to this as a movie with multiple and constant plot twists - what you get in Blue Ruin arent actually plot twists, instead they are merely plot developments presented in a story that is told in a fashion that is not strictly linear.This is a well shot some creative use of visual techniques and shot selections in this film, well written, engaging film that draws you in and keeps you watching right to the very end, despite the fact that it deliberately takes in time in various places.I couldnt help but think of Take Shelter when I watched this film - both movies have a similar stylistic sensibility, where things are not overplayed, and the lead protagonist has an eccentricity and vulnerability about them that you just cant look away from.A great film, well worthy of the 90 minutes it takes to get through, and",,,,,,,,,,,,,,,,,,,
345,17,SvetoslavGrigorov,10,astonishing!,"Blue Ruin.OK. If you like No Country For Old Men, Falling Down, Reservoir Dogs, Taxi Driver, ...take out the commercial element from all of these and just leave the bare-bones of the pure cinema with A/ actor whos face looks like your shy friend B/you cannot see any high-budgeted actor in it but all of them play better than Daniel Craig and Al Pacino altogether C/the script will take your head off even if you have been prepared for it and watched thousands of B/Indie movies in advance D/the camera work is magnificent E/Trust me, I am a Doctor if you like a good action movie not set up upon Hollywood standards watch this movie after 0000 and you will not be disappointed.So far the best MOVIE of the year.",,,,,,,,,,,,,,,,,,,
346,17,outdoorcats,9,It would be a sin to tell you much about it -,"A low-budget independent film that is nevertheless handsomely and confidently shot, Blue Ruin is a consistently unpredictable, twisty, and excellent thriller. At no point will you be quite sure where the film will take you, or what direction it will go next, up until maybe around the final scene.Indeed, the film is so unpredictable, it would be a sin to tell you much about it.But Dwight is a vagrant", scavenging for food in dumpsters and sleeping by the beach in a broken-down car. His aimless existence is interrupted, however," when he receives notice that a man from his past is being released from prison."" Thats an abridged version of the PFF summary", and about all you need to know. I would recommend reading nothing else about the story of this film. Take the risk and dive in blind.I was shocked how good Saulnier, a director Ive never heard of until now," was good at generating suspense.It was accepted into the Directors Fortnight at Cannes.""",,,,,,,,,,,,,
347,17,howard.schumann,10,brutal," shocking and disturbing""""",Revenge, at first though sweet," bitter ere long back on itself recoils."" â€“ John Milton", Paradise Lost Killing has become so routine in movies today that no one blinks an eye when half a dozen people are slaughtered in the space of thirty seconds. Not that many people die in so short a time in Jeremy Saulniers Blue Ruin, however, but the violence is, as the director himself describes it," ""brutal"," shocking and disturbing."" The main character", Dwight Macon Blair is an inept bumbler but one who is driven to exact revenge for his parents murder, a decision that leads to many and varied dead ends, both literal and figurative. Though Dwight is not an especially sympathetic protagonist and is more often than not, an object of laughter, his presence throughout the film is captivating with Blairs performance superbly capturing his emotionless banality.Set in rural Virginia, we know little of Dwights background and there are no extraneous sub-plots, one-liners, fatherly mentors," or love affair""",
348,17,A_Different_Drummer,10,"The only true successor"" to Blood Simple ...""",".... astonishingly comes from an almost-unknown director starring almost-unknown actors .... AND IS IN COLOR TO BOOT. FILM NOIRE NEVER HAD IT SO GOOD! Jeremy Saulnier, the writer and director, essentially is putting on a film clinic here, and it is a dandy. For those of us who may, over time, have forgotten that a great many diverse elements go into a feature film, and that it is entirely possibly produce spellbinding entertainment by merely getting SOME of these elements right, not necessarily all of them at once.In Blue Ruin, leaving aside the odd storyline something about an illicit love affair which goes horribly, horribly, wrong and develops consequences; and leaving aside the lack of Hollywood"" star power which", in truth, you will not miss at all, this film soars to the heights based on 3 simple things a script so tight that it squeaks," in fact there is barely any dialog at all in the first 20 minutes but your eyes will be glued to the screen nonetheless; cinematography that cap""",,,,,,,,,,,,,,,
349,17,rblenheim,8,A great suspense thriller on a shoestring bud,"One of the strongest achievements in recent years in independent cinema is Blue Ruin"". Its brilliantly written and directed by Jeremy Saulnier who just a few years ago was making his own amateur monster movies with his friends", some of whom were involved in this inspired revenge thriller that is the antithesis of the usual commercial revenge thriller.Shot on a less-than-shoestring budget, it stars Macon Blair best friend of Saulnier since childhood as Dwight, an apparent homeless drifter housing a grudge against a convict about to be released from prison whom he feels had murdered his parents. Dwight is obviously unaccustomed to violence hes never fired a gun and, as in the best of the Noir classics, makes one bad decision that plunges him way over his head into a harrowing murder plot thatll keep viewers on the edge of their seats.What makes this film so unique is how its suspense comes from slow, quiet inexorable tension punctuated with a few acts of violence that seem authentic," be""",,,,,,,,,,,,
350,17,cinematic_aficionado,8,"A moral tale, a powerful film inaudibly told","A loner and outsider gets alarmed when informed of someones release from prison and sets out to find him. Following this, a series of killings take place but since the main character is not a professional hit man he seems to be getting into deeper and deeper trouble.This is for the most part a moral tale. One is convicted for a committed crime and the family of the victim feels it appropriate to murder him upon his release based on a fear for reprisals. When you think you have a justifiable cause to kill another human being, a Pandoras box opens and you better be prepared for the consequences.Edgy and intense it has confirmed my affection for independent cinema and despite some flaws in its storyline it has an air of originality attached to it.",,,,,,,,,,,,,,,,,,,
351,17,jdesando,10,Coen Competition,Before you embark on a journey of revenge," dig two graves."" â€• ConfuciusBlue Ruin is the way to make a thriller suspenseful with a memorable protagonist and themes that apply to us all. This film chronicles the revenge of a nerd", Dwight Macon Blair, whos living like a tramp and discovering the murderer of his parents has been released from prison. Hes bound for revenge with the psychic damage from losing his parents on the loose with him.The suspense comes from Dwights messy plans, driven by passion but no experience with the nuances of guns or justice. In other words its the way you and I might bumble through such an enterprise without the faintest notion how to do it. The resulting bloodbath involves the rival Cleland clan in a bloodier version of the Hatfield-McCoy fiasco.Although Dwight initially appears to lack affect and generally remains inscrutable, the film quietly exposes his passion and humanity, especially as he tries to reconcile with his estranged sister," Sam Amy Hargre""",,,,,,,,,,,,
352,17,Fella_shibby,8,Slow but very different revenge drama.,"I saw this in 2014. Awesome direction n cinematography by Jeremy Saulnier that brings out the bleak darkness of the night contrasted with the beauty of the countryside or a field. Good low-key score and good atmosphere, making the movie very realistic and constantly tense.Its a very slow film. Near the beginning, there are large portions of the film where people dont even talk to each other.What makes BLUE RUIN refreshing and brilliant is that the films protagonist is just your average, timid, awkward, and emotionally driven as anyone would expect in a real-world scenario. He isnt macho or fast. Normally the person seeking revenge ends up being a former special ops or CIA agent Washington from Equalizer n Reeves from John wick. Blue Ruin just goes to basics in that there is no special agents or masterminds here. Nice direction by Jeremy Saulnier Murder party, Green room.",,,,,,,,,,,,,,,,,,,
353,17,willwri14,7,"Excellent, well paced, and suspenseful, Blue ","Every so often, when the stars align, along comes a small art-house flick that manages to capture your attention like nothing before. And Blue Ruin, filmmaker Jeremy Saulniers Cannes Film Festival entry, certainly captured my attention like nothing before. Its certainly odd â€“ no big names behind it, no overcomplicated tat, just clean and effective filmmaking. I liked that, and I loved Blue Ruin. True to its namesake, it is a very blue movie; his car, the car seats, the faint illumination of an LED lamp, and the sunny skies, all very blue. Similarly blue is the story itself â€“ soaked in melancholy, it is very tragic indeed.Blue Ruin is about a vagrant called Dwight. He has a scraggly beard, and lives out of his car. He sorts through trash for leftovers, and squats in homes while the owners are on holiday. His existence is rather sad, but rather uplifting all the same â€“ by day he fishes and sits on the beach, and by night he reads books by the light of a little LED lamp. You are rar",,,,,,,,,,,,,,,,,,,
354,17,josephb1207,9,Blue Ruin a synonym for debacle,"When asked about the title of the movie, just after the screening at the AFI Silver on Saturday, the writer/director/cinematographer answered that the title is a synonym for debacle, and sure enough, it was there when I looked it up. That about sums up what happens when a hapless grieving amateur seeks vengeance, a debacle. The writer director and the star of the film have been at this movie making thing since they were both 8 years old. It is just great to see they broke through. You should know that the movie is 8 out of 10 and climbing on the indie list on Itunes. While you can see this on VOD, it is best seen on the big screen, and it is well worth the trip.",,,,,,,,,,,,,,,,,,,
355,17,petra_ste,8,"Blood, not so simple","There is a scene in Blue Ruin where Dwight Macon Blair, a homeless man pursuing a personal vendetta he is ill-suited for, walks into a goods store after receiving a nasty arrow wound in a leg. He starts buying disinfectants, stitches, pincers, glue, and you think youve seen all this before.Cut to Dwight groaning as he fumbles with the wound trying to get the arrow out.Cut to Dwight limping into an ICU and collapsing to the ground.This bit of black humor encapsulates Blue Ruin a clever, subversive little thriller which reminds me most of all of the Coens debut Blood Simple, as inept characters stumble through poorly planned crimes with messy results.Blair is remarkable in the lead role; his Dwight is an interesting, unusual protagonist for the genre, basically the anti-Jason Bourne - an incompetent killer wrecked by memories of his past. Direction by Jeremy Saulnier is impeccable; the movie often shifts between taut action beats and unexpectedly funny moments, and it works.7,5/10",,,,,,,,,,,,,,,,,,,
356,17,Leofwine_draca,10,Comes in fast under the radar,"BLUE RUIN is a fine revenge thriller of the type that you thought America couldnt make anymore. These low-fi films are the opposite of the bloated and glossy Hollywood-style blockbuster and all the better for it. The film I can most liken it to is THE ROVER, a similar low-key Aussie story about the path of revenge and the unusual outcomes that one must face when embarking down it.To say too much about the plot of BLUE RUIN would be to spoil it, so I wont. What I will say is that this is a slow paced and spare film that keeps you gripped throughout, including in the moments where not much happens. It has a drive and consistency that makes it work. The suspense keeps you hooked to the ensuing events and the violence, when it comes, is brief but extremely hard-hitting. A squad of naturalistic performances enhance a film in which realism is key, and the result is one of the freshest American thrillers to be made in years.",,,,,,,,,,,,,,,,,,,
357,17,juliojuarez10,9,Dark Indie with a pinch of irony,Its gems like this that should remind us all that you dont need a ton of cash to make a tight movie. Sure some of it is a little low key with every-dude Dwight Macon Blair just doing his thing but mostly its incredibly fun and sufficiently weird to keep an audience keen. You might say its a master class in how Indie films can actually do things that mainstream cannot....use some weirdness and irony to their benefit. Macon Blair is no George Clooney but he and director Saulnier have created a fascinating loser who you want to watch. Theres something super satisfying and fun watching him in the prep montage at the beginning of this story...a kind of Antonioni realist take on the classic Rambo moment of arming yourself to the teeth with knives and grenades for that one big assault. Theres also some great low key humour in the kitchen sink interactions with his sister played to harrowed perfection by Amy Hargreaves and with his gun-slinging outsider friend the very charismatic Devin Ratray,,,,,,,,,,,,,,,,,,,
358,17,hepodcast,10,Human Echoes Rundown Blue Ruin,"Theres a faded blue car on the side of the road by the beach. At first you think it might just be parked there, but then you notice the grass growing up around the wheels and the makeshift awning attached to one of the doors. Look a little closer still, and you will notice that some of the spots of rust in the fender arent spots at all theyre bullet holes. This is a car that has seen things. It has been touched by violence, and it has sat in the same place for so long that is has forgotten how to move.This is the never ending cycle of violence and revenge. This is Blue Ruin.Blue Ruin is not a film that accepts easy classification. At its most basic level its a revenge movie about a man who goes after the thug who killed his parents years ago. But theres no satisfaction to be had in this revenge, no big explosion-laden payoff. In fact the revenge itself happens fairly early in the film setting off a chain reaction of events that send our protagonist on the run for his life.To say more w",,,,,,,,,,,,,,,,,,,
359,17,contact-43595,9,Excellent,"A really powerful low budget film. The pace is slow but interesting and we want to go on this journey with the main character and see where it leads. Not really a surprising plot, nothing new but very well handled. The actors and the direction match beautifully creating a dreamlike flow to the narrative. Shows what a film can do with limited budget and unknown cast. Hope we will see more from the filmmakers.",,,,,,,,,,,,,,,,,,,
360,17,cgearheart,9,Rock Solid,"Overlooked in the shadow of Green Room, Blue Ruin is a taut and explosively intense, not to mention realistic, revenge thriller that shook me down to my core. The build up is incredible, the performance by Macon Blair is flawless, and the action is hair raising. By far one of my favorites of the genre.A+",,,,,,,,,,,,,,,,,,,
361,17,bob the moo,9,Engagingly tense and spare,"Like everyone else probably has already said, there is something of the Coen Brothers about this film, but not in terms of humor or oddity, but rather in its stripped down violence that worked so well in Blood Simple. The plot here sees a homeless man learning that the man who murdered his parents has been released from jail. He sets out for revenge, but the attempt goes badly, putting his estranged sister and family at risk.Starting out mostly in wordless scenes, the film draws us in with Dwight revealing a lot of his life and what led him there, all with little touches and moment. We dont fully understand the ins and outs of it all, but the gist is clear and it is engaging. The steady pace of the start continues throughout, and it works well to produce tension and build-up within scenes, but also across the film as a whole. The stripped down feel to the writing, soundtrack, and production all add to that sense of tension - it doesnt feel forced for flamboyance or excessive although t",,,,,,,,,,,,,,,,,,,
362,17,Evenateimdb,10,Like a Matchstick,"Just slowly burning from tip to end, the fire moves from one end to another. The movement is slow, but there is fire. The realistic, morbid scenes had so much depth in it, it felt like watching a documentary. I dont feel like typing too much right now after the movie, but all I have to say is that its absence of Hollywood is what makes this movie. In a year like 2017 where all movies are so focused on actors and fancy pictures, this movie brought me back to a cradle. Great acting. Great setting. Simple plot, yet so much thinking. Silent cuts, yet the breeze so noisy. It is worth watching.I just have one question. Spoiler alert?Why didnt the kid just shoot Dwight to death, instead of leaving him live enough to kill his other family members?9/10",,,,,,,,,,,,,,,,,,,
363,17,webcrind,10,Superb movie,"It might be a bad habit of mine but I like to compare a movie to other movies I have seen. And I compare Blue Ruin to Child of God, another fabulous albeit very upsetting movie. Both movies have rather unknown actors in it, they were done using very little money, they have interesting stories and they are directed by people who have skills, so in this way they are the complete opposite of Nocturnal Animals. Without giving the plot away, Blue Ruin starts really slow with the main character appearing to be almost unlikable, sort of like the characters in a L.F.Celine story, but then the plot starts to develop and lucky for me, I went to the washroom before the movie started, because there was no way I would have missed even a minute of that splendid movie or Odin forbid, pause it.",,,,,,,,,,,,,,,,,,,
364,18,steven-leibson,9,"Punches all my buttons segregation, space, en","Im an engineer. I designed computers, I grew up in the south during the 1950s and 1960s. I was heavily involved in the space race at an early age and watched every launch and recovery on black-and-white TV. I never saw separate restrooms and drinking fountains for colored"" but they were there. I never rode on segregated public buses", but they were there and I knew it. This movie," ""Hidden Figures"," brings all of these worlds back to me. No, its not a painstakingly accurate picture. NASA didnt have flat-panel screens back then. Communications between the ground and the Mercury capsules were not static-free. But a lot of this movie feels real. Very real.The protagonists in this movie are three women of color working in one of the most unwelcoming environments they might hope to find NASA Langley, Virginia, in 1961. As women, they were employed as human computers"" because they were less expensive and they got their numbers right. As ""colored"" folk"," they got their own separate and sparse """,,,,,,,,,,,,,,,
365,18,A_Different_Drummer,9,"Major Feel-Good Movie, just gets better as it","In the opinion of this reviewer, an extraordinary achievement.The characters on which the film is based were special and unique on their own, and well deserving of the sort of semi-documentary films that Hollywood likes to serve up.However, to take that story and bump it up to a major feel-good film"" that engages the viewer from the getgo and does not let up until the very end of its 2 hour and 5 minute running time", THAT is what elevates this project to greatness.I want to be clear on this because it is important. There are two ways to do a feel-good film. One is ironically! by the numbers, using proved plot arcs and other script devices to make it work. An example of this for example is the latest Disney release MOANA which has taken some heat from critics for being derivative and not original. But that, you see," is the tried and true method to achieve the effect that the producers wanted. And it works.The other way to make a film engaging and fun is to use your instincts and your a""",,,,,,,,,,,,,,,
366,18,maricam,8,"Good movie but, sadly, Hollywood must tinker ","I really enjoyed watching Hidden Figures. The story was compelling and laid out neatly for our viewing pleasure. It shone a spotlight on a part of history with which I wasnt familiar. And, most importantly, it made me want to learn more about Katherine Goble Johnson, Mary Jackson, and Dorothy Vaughan. What a shame the screenwriters felt they had to preach at me about racism rather than just tell the true story of these amazing and talented women. They werent amazing and talented in spite"" of being black or ""in spite"" of being women", they were just amazing and talented in their own right. One day, perhaps, Hollywood will get a clue and give audiences credit for having a brain.Much of the atmosphere of racism in the movie did not ring true for me. In many cases it didnt even make sense," so I looked into it. The first question I had for the internet was ""Did Katherine Goble have to run half a mile to use a bathroom on the NASA complex?"" The answer is no. For more info on the conditions a""",,,,,,,,,,,,,,,
367,18,sam21462,7,I first gave it a 9 then almost gave it a 4 b,"First I would like to say that I thought this was a tremendous movie. It is well written, acted, directed, and the story is amazingly compelling. Then I read a bit about the true story of these amazing women. There were such great liberties taken with their stories that I was a bit appalled. While it did a great job making us feel just how amazing these women were it failed to show the role NASA played correctly. I will simply paste the wiki of the reality of the mindset of NASA as well as the real story, in a super condensed way. Science is anti-stupidity and racism is stupid. I wish that NASA and science had been presented in a bit better light. Paste starts hereThe film, set at NASA in 1961, depicts segregated facilities such as the West Area Computing unit, an all-black group of female mathematicians, who were originally required to use separate dining and bathroom facilities. However, in reality, Dorothy Vaughan was promoted to supervisor of West Computing in 1949, becoming the fi",,,,,,,,,,,,,,,,,,,
368,18,svorva,6,"Evident Heroism, Hidden Doubts","This is one of those based on true events"" films that the moment you return from the theater youre going to hop on the internet and explore the story. Thats a good sigh. Unfortunately", here the need to do some fact checking might not stem from all the right reasons.Hidden Figures is an upbeat, inspiring tale about the role three African-American women played in the NASA program during the early 60s. First Katherine Johnson Henson, our lead, a gifted mathematician and human computer trying to carve out a roll in the Space Test Group. Second, Dorothy Vaughan Spencer," leader of the ""colored computers."" She wants both the supervisor title she deserves and to survive the transition to IBMs mechanical computers. Finally Mary Jackson Monae"," who is trying to overcome discriminatory policies to become NASAs first female engineer. These women must meet challenges in the workplace then return home to more struggles African-Americans were fighting nationwide. Having the performances to anchor you""",,,,,,,,,,,,
369,18,dave-mcclain,10,"Dont let Hidden Figures"" be a hidden treasur""","Appreciation. Its a condition which requires information and understanding and results in increased compassion, acceptance and inclusiveness. There are few ways to enhance appreciation for others more effectively than a well-made movie and the 2016 historical drama Hidden Figures"" PG", 207 takes full advantage of that opportunity. Without being too busy or too preachy, this film helps the audience better appreciate the struggles of being a minority â€“ and a working woman and even a mother working outside the home â€“ in the early 1960s, the pressure involved in competing with the Soviet Union in the early years of the space race," the difficult challenges surrounding getting man into space and returning him safely to earth for the first time and the courage it required of those who were willing to go. Thats a lot for one movie â€“ and might be too much for many â€“ but ""Hidden Figures"" is up to the challenge.The film is an adaptation of Margot Lee Shetterlys book of the same name and f""",,,,,,,,,,,,,,,
370,18,AlsExGal,9,It made for an old-fashioned movie going expe,"This is the true story of three African-American women who worked for NASA on the Mercury program in the early 1960s. Solid performances by all, some laugh-out-loud scenes, and some very emotional moments. Its also an important look back at the civil rights issues of the time period. The climax is a bit Apollo 13ish, and Im fairly certain some scenes were embellished, but who cares. You should walk away from this film smiling, maybe even a bit choked up.And in spite of it being an overall positive experience, I could feel the oppression at certain points - Dorothy at the library just trying to find the right book, but it is in a part of the library to which she cannot gain admittance due to her race. Mary being reminded that she must sit in the back of the court room, again because of her race. Katherine runs across campus just to find a bathroom that she is allowed to use and never once complaining about it until she is publicly berated about her use of time. Kevin Costners character ",,,,,,,,,,,,,,,,,,,
371,18,ianmjones1,4,Lacking subtlety.,"Easy on the eye but not worthy of the hype and the Oscar nomination. An interesting story has been directed in a very heavy handed way, which to me was constantly irritating. Almost every scene is overstated to the point that, as others have said, there is a propaganda feel to the film. Did the director really need to portray every white person, bar two, as vigorously racist or anti-women, even though virtually all the characters are clearly intelligent and from well educated backgrounds? This is a film where the message would have been stronger and more credible if a degree of balance and subtlety had been added to the mix. The things I enjoyed some strong performances by a very capable cast, a very authentic period setting, a story which is totally engaging. The thing which turned me off the exaggeration.",,,,,,,,,,,,,,,,,,,
372,18,BNester,5,History Dumbed Down,"Engineers and adding-machine operators called computers"" working at NASA in the early 1960s included a few black women. Since the Civil Rights movement was only beginning", and NASA was located in southern regions of the US," these women were subject to legal discrimination. ""Hidden Figures"" follows the careers of some of these women. But it does this in a heavy-handed"," formulaic way.Ever since ""The Ugly Duckling"" of Hans Christian Anderson", the formula has been predictable a member of a despised minority is grudgingly admitted into a previously exclusive activity. Will the minority figure excel in the new position, or will he/she fail miserably, justifying the prejudices of the ruling class? Telling you the answer would be a spoiler, so youll have to guess it for yourselves," but its not too difficult.In ""Hidden Figures""", all the whites are bigots except for John Glenn and one department head, and all the blacks are hard-working, clean," patriotic moral wonders. This is history dumbed do""",,,,,,,
